id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,price_bucket,minimum_nights,number_of_reviews,reviews_per_month,last_review,value_score,calculated_host_listings_count,is_power_host,availability_365,occupancy_pct
6848,Only 2 stops to Manhattan studio,15991,Allen & Irina,Brooklyn,Williamsburg,40.70837,-73.95352,Entire home/apt,140,Mid ($75-149),2,148,1.2,2019-06-29,1.057,1,No,46,87.4
7097,Perfect for Your Parents + Garden,17571,Jane,Brooklyn,Fort Greene,40.69169,-73.97185,Entire home/apt,215,Premium ($150-299),2,198,1.72,2019-06-28,0.921,1,No,321,12.1
7322,Chelsea Perfect,18946,Doti,Manhattan,Chelsea,40.74192,-73.99501,Private room,140,Mid ($75-149),1,260,2.12,2019-07-01,1.857,1,No,12,96.7
7726,Hip Historic Brownstone Apartment with Backyard,20950,Adam And Charity,Brooklyn,Crown Heights,40.67592,-73.94694,Entire home/apt,99,Mid ($75-149),3,53,4.44,2019-06-22,0.535,1,No,21,94.2
7750,Huge 2 BR Upper East  Cental Park,17985,Sing,Manhattan,East Harlem,40.79685,-73.94872,Entire home/apt,190,Premium ($150-299),7,0,0.0,No reviews yet,0.0,2,No,249,31.8
7801,Sweet and Spacious Brooklyn Loft,21207,Chaya,Brooklyn,Williamsburg,40.71842,-73.95718,Entire home/apt,299,Premium ($150-299),3,9,0.07,2011-12-28,0.03,1,No,0,100.0
8024,CBG CtyBGd HelpsHaiti rm#1:1-4,22486,Lisel,Brooklyn,Park Slope,40.68069,-73.97706,Private room,130,Mid ($75-149),2,130,1.09,2019-07-01,1.0,6,Yes,347,4.9
8025,CBG Helps Haiti Room#2.5,22486,Lisel,Brooklyn,Park Slope,40.67989,-73.97798,Private room,80,Mid ($75-149),1,39,0.37,2019-01-01,0.488,6,No,364,0.3
8110,CBG Helps Haiti Rm #2,22486,Lisel,Brooklyn,Park Slope,40.68001,-73.97865,Private room,110,Mid ($75-149),2,71,0.61,2019-07-02,0.645,6,No,304,16.7
8490,"MAISON DES SIRENES1,bohemian apartment",25183,Nathalie,Brooklyn,Bedford-Stuyvesant,40.68371,-73.94028,Entire home/apt,120,Mid ($75-149),2,88,0.73,2019-06-19,0.733,2,No,233,36.2
8505,Sunny Bedroom Across Prospect Park,25326,Gregory,Brooklyn,Windsor Terrace,40.65599,-73.97519,Private room,60,Budget (<$75),1,19,1.37,2019-06-23,0.317,2,Yes,85,76.7
8700,Magnifique Suite au N de Manhattan - vue Cloitres,26394,Claude & Sophie,Manhattan,Inwood,40.86754,-73.92639,Private room,80,Mid ($75-149),4,0,0.0,No reviews yet,0.0,1,No,0,100.0
9357,Midtown Pied-a-terre,30193,Tommi,Manhattan,Hell's Kitchen,40.76715,-73.98533,Entire home/apt,150,Premium ($150-299),10,58,0.49,2017-08-13,0.387,1,No,75,79.5
9518,"SPACIOUS, LOVELY FURNISHED MANHATTAN BEDROOM",31374,Shon,Manhattan,Inwood,40.86482,-73.92106,Private room,44,Budget (<$75),3,108,1.11,2019-06-15,2.455,3,Yes,311,14.8
9657,Modern 1 BR / NYC / EAST VILLAGE,21904,Dana,Manhattan,East Village,40.7292,-73.98542,Entire home/apt,180,Premium ($150-299),14,29,0.24,2019-04-19,0.161,1,No,67,81.6
9668,front room/double bed,32294,Ssameer Or Trip,Manhattan,Harlem,40.82245,-73.95104,Private room,50,Budget (<$75),3,242,2.04,2019-06-01,4.84,3,Yes,355,2.7
9704,Spacious 1 bedroom in luxe building,32045,Teri,Manhattan,Harlem,40.81305,-73.95466,Private room,52,Budget (<$75),2,88,1.42,2019-06-14,1.692,1,No,255,30.1
9782,Loft in Williamsburg Area w/ Roof,32169,Andrea,Brooklyn,Greenpoint,40.72219,-73.93762,Private room,55,Budget (<$75),4,197,1.65,2019-06-15,3.582,3,Yes,284,22.2
9783,back room/bunk beds,32294,Ssameer Or Trip,Manhattan,Harlem,40.8213,-73.95318,Private room,50,Budget (<$75),3,273,2.37,2019-07-01,5.46,3,Yes,359,1.6
10452,Large B&B Style rooms,35935,Angela,Brooklyn,Bedford-Stuyvesant,40.6831,-73.95473,Private room,70,Budget (<$75),1,74,0.66,2019-05-12,1.057,2,No,269,26.3
10962,"Lovely room 2 & garden; Best area, Legal rental",9744,Laurie,Brooklyn,South Slope,40.66869,-73.9878,Private room,89,Mid ($75-149),4,168,1.41,2019-06-21,1.888,3,Yes,340,6.8
11452,Clean and Quiet in Brooklyn,7355,Vt,Brooklyn,Bedford-Stuyvesant,40.68876,-73.94312,Private room,35,Budget (<$75),60,0,0.0,No reviews yet,0.0,1,No,365,0.0
11708,Cute apt in artist's home,44145,Tyrome,Brooklyn,Bushwick,40.70186,-73.92745,Entire home/apt,85,Mid ($75-149),2,231,1.96,2019-06-22,2.718,2,Yes,22,94.0
11943,Country space in the city,45445,Harriet,Brooklyn,Flatbush,40.63702,-73.96327,Private room,150,Premium ($150-299),1,0,0.0,No reviews yet,0.0,1,No,365,0.0
12048,LowerEastSide apt share shortterm 1,7549,Ben,Manhattan,Lower East Side,40.71401,-73.98917,Shared room,40,Budget (<$75),1,214,1.81,2019-07-05,5.35,4,Yes,188,48.5
12192,ENJOY Downtown NYC!,46978,Edward,Manhattan,East Village,40.7229,-73.98199,Private room,68,Budget (<$75),2,245,2.08,2019-06-21,3.603,2,Yes,96,73.7
12299,Beautiful Sunny Park Slope Brooklyn,47610,Abdul,Brooklyn,South Slope,40.66278,-73.97966,Entire home/apt,120,Mid ($75-149),3,15,0.39,2019-05-27,0.125,1,No,345,5.5
12303,1bdr w private bath. in lofty apt,47618,Yolande,Brooklyn,Fort Greene,40.69673,-73.97584,Private room,120,Mid ($75-149),7,25,0.23,2018-09-30,0.208,1,No,311,14.8
12318,West Side Retreat,16800,Cyn,Manhattan,Upper West Side,40.79009,-73.97927,Private room,135,Mid ($75-149),4,81,0.69,2019-06-16,0.6,1,No,273,25.2
12343,BEST BET IN HARLEM,47727,Earl,Manhattan,Harlem,40.81175,-73.94478,Entire home/apt,150,Premium ($150-299),7,97,0.84,2019-06-13,0.647,1,No,309,15.3
12627,Entire apartment in central Brooklyn neighborhood.,49670,Rana,Brooklyn,Prospect-Lefferts Gardens,40.65944,-73.96238,Entire home/apt,150,Premium ($150-299),29,11,0.49,2019-06-05,0.073,1,No,95,74.0
12937,"1 Stop fr. Manhattan! Private Suite,Landmark Block",50124,Orestes,Queens,Long Island City,40.74771,-73.9474,Private room,130,Mid ($75-149),3,248,2.25,2019-07-01,1.908,1,No,215,41.1
12940,Charming Brownstone 3 - Near PRATT,50148,Adreinne,Brooklyn,Bedford-Stuyvesant,40.68111,-73.95591,Entire home/apt,110,Mid ($75-149),7,61,0.52,2019-05-25,0.555,1,No,265,27.4
13050,bright and stylish duplex,50846,Jennifer,Brooklyn,Bedford-Stuyvesant,40.68554,-73.9409,Entire home/apt,115,Mid ($75-149),3,11,0.1,2017-01-01,0.096,1,No,0,100.0
13394,Fort Greene brownstone ,52335,Alexander,Brooklyn,Fort Greene,40.69142,-73.97376,Private room,80,Mid ($75-149),3,135,1.16,2019-06-17,1.688,2,Yes,192,47.4
13808,Blue Room for 2 in Brownstone for $1350 monthly,54275,JT And Tiziana,Brooklyn,Bedford-Stuyvesant,40.68043,-73.93934,Private room,80,Mid ($75-149),1,112,1.01,2019-06-16,1.4,3,Yes,251,31.2
14287,Cozy 1BD on Central Park West in New York City,56094,Joya,Manhattan,Upper West Side,40.78635,-73.97008,Entire home/apt,151,Premium ($150-299),2,73,0.63,2019-07-07,0.483,1,No,302,17.3
14290,* ORIGINAL BROOKLYN LOFT *,56104,James,Brooklyn,Williamsburg,40.7042,-73.9356,Entire home/apt,228,Premium ($150-299),3,82,0.7,2019-05-17,0.36,1,No,140,61.6
14314,Greenpoint Place...Has It All! ,56246,Jeanne,Brooklyn,Greenpoint,40.73506,-73.95392,Entire home/apt,144,Mid ($75-149),2,328,2.82,2019-06-29,2.278,1,No,234,35.9
14322,Beautiful Apartment in Manhattan!!!,56284,Francesca,Manhattan,Kips Bay,40.73961,-73.98074,Entire home/apt,200,Premium ($150-299),7,19,0.22,2019-03-25,0.095,1,No,257,29.6
14377,Williamsburg 1 bedroom Apartment,56512,Joanna,Brooklyn,Williamsburg,40.70881,-73.9593,Entire home/apt,150,Premium ($150-299),30,105,0.9,2019-06-22,0.7,1,No,30,91.8
14991,"Great Location, Manhattan Bedroom!",59023,Bianca,Manhattan,Lower East Side,40.72004,-73.99104,Private room,110,Mid ($75-149),5,19,0.17,2019-05-18,0.173,1,No,301,17.5
15220,Best Location in NYC! TIMES SQUARE!,59734,Luiz,Manhattan,Hell's Kitchen,40.75531,-73.99293,Private room,69,Budget (<$75),2,289,2.49,2019-06-09,4.188,2,Yes,294,19.5
15338,Room in Greenpoint Loft w/ Roof,32169,Andrea,Brooklyn,Greenpoint,40.72401,-73.93788,Private room,49,Budget (<$75),4,138,1.19,2019-06-04,2.816,3,Yes,320,12.3
15341,**Bright Nolita Apt w Doorman/Elevators/Gym**,60049,Ted,Manhattan,SoHo,40.7221,-73.99775,Entire home/apt,180,Premium ($150-299),30,21,0.3,2019-06-29,0.117,1,No,154,57.8
15385,"Very, very cozy place",60252,Cristina,Brooklyn,Williamsburg,40.71185,-73.96204,Private room,80,Mid ($75-149),2,42,0.38,2019-06-30,0.525,1,No,263,27.9
15396,Sunny & Spacious Chelsea Apartment,60278,Petra,Manhattan,Chelsea,40.74623,-73.9953,Entire home/apt,375,Luxury ($300+),180,5,0.12,2018-11-03,0.013,1,No,180,50.7
15711,2 bedroom - Upper East Side-great for kids,61491,D,Manhattan,Upper East Side,40.77065,-73.95269,Entire home/apt,250,Premium ($150-299),2,66,0.57,2019-03-30,0.264,2,No,231,36.7
16326,Comfortable 4-bedroom apt in family house.,63588,Dimitri,Brooklyn,Prospect Heights,40.67811,-73.96428,Entire home/apt,200,Premium ($150-299),30,143,1.33,2019-01-26,0.715,2,Yes,297,18.6
16338,Double Room w Private Deck Clinton Hill Best Area,63613,Patricia,Brooklyn,Clinton Hill,40.69,-73.96788,Private room,55,Budget (<$75),7,27,0.23,2017-09-30,0.491,2,No,292,20.0
16421,Your Heaven in Hells Kitchen,63924,Mark,Manhattan,Hell's Kitchen,40.75979,-73.99119,Private room,52,Budget (<$75),30,191,1.65,2019-05-16,3.673,1,No,191,47.7
16458,Light-filled 2B duplex in the heart of Park Slope!,64056,Sara,Brooklyn,Park Slope,40.67343,-73.98338,Entire home/apt,225,Premium ($150-299),3,4,0.16,2017-09-24,0.018,1,No,0,100.0
16580,"Sunny, Modern room in East Village!",64442,Reka,Manhattan,East Village,40.72649,-73.97904,Private room,80,Mid ($75-149),1,338,4.72,2019-07-01,4.225,2,Yes,72,80.3
16595,*HAVEN LOFT - Entire Floor - Six Windows - Bricks*,64522,Daniel,Brooklyn,Williamsburg,40.70933,-73.96792,Entire home/apt,275,Premium ($150-299),1,148,1.4,2019-06-23,0.538,1,No,362,0.8
16821,Large Room in Amazing East Village Apt,4396,Casey,Manhattan,East Village,40.72298,-73.98474,Private room,99,Mid ($75-149),1,106,1.26,2019-06-21,1.071,2,Yes,336,7.9
16974,SpaHa Loft: Enormous and Bright,65837,Robin,Manhattan,East Harlem,40.80164,-73.93922,Entire home/apt,225,Premium ($150-299),4,190,1.64,2019-06-23,0.844,1,No,215,41.1
17037,Lovely EV Artist's Home,66035,Anna,Manhattan,East Village,40.72162,-73.98008,Entire home/apt,230,Premium ($150-299),9,49,0.43,2018-05-14,0.213,1,No,116,68.2
17092,Cool Room in Hell's Kitchen,66243,Enzo,Manhattan,Hell's Kitchen,40.76342,-73.98865,Private room,51,Budget (<$75),7,23,0.43,2019-06-01,0.451,1,No,88,75.9
17693,"HARLEM, NEW YORK WELCOMES YOU!!",68428,Tye And Etienne,Manhattan,Washington Heights,40.83139,-73.94095,Private room,65,Budget (<$75),2,49,1.6,2019-06-18,0.754,2,Yes,336,7.9
17747,BLUE TRIM GUEST HOUSE,68599,George,Brooklyn,Clinton Hill,40.68346,-73.96374,Private room,105,Mid ($75-149),2,105,0.92,2019-06-26,1.0,1,No,304,16.7
18127,Charming East Village One Bedroom Flat,69829,Josh,Manhattan,East Village,40.72828,-73.98801,Entire home/apt,190,Premium ($150-299),5,21,0.2,2019-01-02,0.111,1,No,224,38.6
18152,Manhattan Room,69942,Victoria,Manhattan,Upper East Side,40.76865,-73.95058,Private room,200,Premium ($150-299),1,142,1.5,2019-07-06,0.71,1,No,322,11.8
18198,Little King of Queens,70091,Justin,Queens,Woodside,40.75038,-73.90334,Private room,70,Budget (<$75),30,25,0.22,2019-05-31,0.357,1,No,324,11.2
18590,Fort Greene Retreat on the Park,71512,Blaise,Brooklyn,Fort Greene,40.6932,-73.97267,Private room,95,Mid ($75-149),3,143,1.28,2019-06-16,1.505,1,No,132,63.8
18728,Beautiful Meatpacking District Loft,71876,DAVID And RICK,Manhattan,Chelsea,40.74138,-74.00197,Private room,150,Premium ($150-299),3,167,1.65,2019-05-28,1.113,1,No,295,19.2
18764,Cozy 2 BR in Williamsburg ,72014,Lulú,Brooklyn,Williamsburg,40.71154,-73.96112,Private room,145,Mid ($75-149),3,61,0.54,2019-04-22,0.421,4,No,238,34.8
19159,Spacious luminous apt Upper West NYC,73051,Sybilla,Manhattan,Harlem,40.82915,-73.95136,Entire home/apt,110,Mid ($75-149),31,54,0.49,2019-03-23,0.491,1,No,209,42.7
19169,Entire 2 Bedroom - Large & Sunny,73128,JoLynn,Manhattan,Lower East Side,40.71851,-73.98892,Entire home/apt,285,Premium ($150-299),5,70,0.62,2019-06-30,0.246,1,No,328,10.1
19282,"Sunny, Spacious Top Floor Haven",73469,Gaia,Brooklyn,Flatbush,40.65401,-73.96323,Entire home/apt,130,Mid ($75-149),6,16,0.15,2019-06-15,0.123,1,No,38,89.6
19319,Private room Great Deal at Lower East Side,44263,Ana,Manhattan,Lower East Side,40.7114,-73.98794,Private room,94,Mid ($75-149),30,94,0.84,2019-04-08,1.0,1,No,188,48.5
19601,perfect for a family or small group,74303,Maggie,Brooklyn,Brooklyn Heights,40.69723,-73.99268,Entire home/apt,800,Luxury ($300+),1,25,0.24,2016-08-04,0.031,1,No,7,98.1
19812,2 bedroom Williamsburg Apt - Bedford L stop,74857,Starlee,Brooklyn,Williamsburg,40.71833,-73.95748,Entire home/apt,105,Mid ($75-149),3,61,0.53,2018-08-09,0.581,1,No,272,25.5
20299,Oh glorious spring!,62407,Edward,Manhattan,East Village,40.72334,-73.9844,Private room,60,Budget (<$75),3,194,1.73,2019-06-30,3.233,1,No,26,92.9
20300,Great Location for NYC,76627,Pas,Manhattan,East Village,40.72912,-73.98057,Private room,50,Budget (<$75),1,2,0.05,2016-02-14,0.04,1,No,0,100.0
20611,Cozy Bedroom in Williamsburg 3 BR,72014,Lulú,Brooklyn,Williamsburg,40.71156,-73.96218,Private room,85,Mid ($75-149),3,174,1.54,2019-06-22,2.047,4,Yes,288,21.1
20724,Sunny room+Pvte office in huge loft,961342,Augustin,Brooklyn,Bushwick,40.70032,-73.9383,Private room,65,Budget (<$75),4,24,0.28,2019-05-26,0.369,1,No,317,13.2
20734,Spacious Prospect Heights Apartment,78460,Sean & Lynette,Brooklyn,Prospect Heights,40.68233,-73.97261,Entire home/apt,131,Mid ($75-149),4,166,3.4,2019-06-27,1.267,1,No,207,43.3
20755,"Large Parlor Room, Landmark Home 1 block to PRATT",51038,Erica,Brooklyn,Clinton Hill,40.68634,-73.966,Private room,98,Mid ($75-149),7,16,0.2,2019-05-31,0.163,6,No,185,49.3
20853,2-bed brownstone duplex + garden,79070,Tracy,Brooklyn,Prospect Heights,40.68035,-73.97162,Entire home/apt,250,Premium ($150-299),7,21,0.3,2019-05-21,0.084,1,No,158,56.7
20913,Charming 1 bed GR8 WBurg LOCATION!,79402,Christiana,Brooklyn,Williamsburg,40.70984,-73.95775,Entire home/apt,100,Mid ($75-149),5,168,1.57,2018-07-22,1.68,1,No,0,100.0
21293,Sunny Apartment in Artist Home,44145,Tyrome,Brooklyn,Bushwick,40.70093,-73.92609,Entire home/apt,105,Mid ($75-149),3,118,1.05,2019-06-18,1.124,2,Yes,9,97.5
21456,Light-filled classic Central Park ,42032,Dana,Manhattan,Upper West Side,40.79764,-73.96177,Entire home/apt,140,Mid ($75-149),3,81,0.71,2019-07-07,0.579,1,No,198,45.8
21644,"Upper Manhattan, New York",82685,Elliott,Manhattan,Harlem,40.82803,-73.94731,Private room,89,Mid ($75-149),1,1,0.11,2018-10-09,0.011,1,No,365,0.0
21794,COZY QUIET room 4 DOOGLERS!,83257,Olan,Manhattan,Chelsea,40.74008,-74.00271,Private room,98,Mid ($75-149),30,30,0.27,2019-05-01,0.306,2,No,364,0.3
22911,The Stuydio Modern and Light Filled,87773,Shelly,Brooklyn,Bedford-Stuyvesant,40.68413,-73.92357,Entire home/apt,125,Mid ($75-149),7,139,1.23,2018-10-28,1.112,2,Yes,311,14.8
22918,loft bed - near transportation-15min to times sq,32294,Ssameer Or Trip,Manhattan,Harlem,40.82279,-73.95139,Private room,60,Budget (<$75),3,11,0.87,2019-01-03,0.183,3,No,219,40.0
23135,House On Henry (3rd FLR Suite),11481,Annette,Brooklyn,Carroll Gardens,40.67967,-74.00154,Entire home/apt,175,Premium ($150-299),2,233,2.09,2019-06-24,1.331,3,Yes,342,6.3
23501,Monkey Retreat Manhattan,63318,Meka,Manhattan,Washington Heights,40.83927,-73.94281,Private room,65,Budget (<$75),2,68,0.6,2012-11-01,1.046,1,No,312,14.5
23686,2000 SF 3br 2bath West Village private  townhouse,93790,Ann,Manhattan,West Village,40.73096,-74.00319,Entire home/apt,500,Luxury ($300+),4,46,0.55,2019-05-18,0.092,2,No,243,33.4
24143,"Williamsburg—Steps To Subway, Private Bath&Balcony",97219,Seth,Brooklyn,Williamsburg,40.71332,-73.94177,Private room,101,Mid ($75-149),3,335,3.02,2019-05-29,3.317,1,No,152,58.4
24285,Beautiful Duplex Apartment,97797,Brenda,Brooklyn,Park Slope,40.66941,-73.98109,Entire home/apt,220,Premium ($150-299),30,88,0.79,2018-11-02,0.4,1,No,9,97.5
25235,Large 2 Bedroom Great for Groups!,87773,Shelly,Brooklyn,Bedford-Stuyvesant,40.68373,-73.92377,Entire home/apt,125,Mid ($75-149),90,162,1.46,2019-06-28,1.296,2,Yes,137,62.5
25406,"Modern Brooklyn Apt., August sublet",105538,Erik,Brooklyn,Williamsburg,40.71459,-73.94844,Entire home/apt,80,Mid ($75-149),30,29,0.4,2018-05-26,0.362,1,No,222,39.2
25696,"1,800 sq foot in luxury building",107628,Dena,Manhattan,Harlem,40.8092,-73.94421,Private room,100,Mid ($75-149),2,170,1.61,2019-06-23,1.7,1,No,346,5.2
26012,Sunny 2-story Brooklyn townhouse w deck and garden,109589,Jessica,Brooklyn,Gowanus,40.68157,-73.98989,Entire home/apt,200,Premium ($150-299),30,19,0.2,2017-03-17,0.095,1,No,208,43.0
26362,"Times Square, Safe, Clean and Cozy!",59734,Luiz,Manhattan,Hell's Kitchen,40.75527,-73.99291,Private room,59,Budget (<$75),2,334,3.0,2019-06-16,5.661,2,Yes,279,23.6
26520,"Cozy Room #3, Landmark Home 1 Block to PRATT",51038,Erica,Brooklyn,Clinton Hill,40.68698,-73.96572,Private room,125,Mid ($75-149),2,19,0.2,2019-06-02,0.152,6,No,250,31.5
26559,Beautiful Apartment East Village,112793,Sally,Manhattan,East Village,40.7288,-73.98192,Entire home/apt,140,Mid ($75-149),7,12,0.13,2017-12-11,0.086,1,No,164,55.1
26785,Park Slope Green Guest House,42273,Dani,Brooklyn,South Slope,40.66853,-73.98912,Entire home/apt,120,Mid ($75-149),30,467,4.22,2018-12-30,3.892,2,Yes,192,47.4
26933,2 BR / 2 Bath Duplex Apt with patio! East Village,72062,Bruce,Manhattan,East Village,40.7254,-73.98157,Entire home/apt,350,Luxury ($300+),2,7,0.06,2017-08-09,0.02,4,No,298,18.4
26954,NYC fabulous views Manhattan's eye,115157,Nimo,Manhattan,Kips Bay,40.74294,-73.98009,Entire home/apt,199,Premium ($150-299),5,38,0.38,2015-12-02,0.191,1,No,260,28.8
26969,2 story family home in Williamsburg,115307,Alexandra,Brooklyn,Williamsburg,40.71942,-73.95748,Entire home/apt,325,Luxury ($300+),3,324,3.01,2019-06-23,0.997,1,No,107,70.7
27006,Comfortable UWS 2-BD Family-Friendly Brownstone,115560,Stacy,Manhattan,Upper West Side,40.77823,-73.97637,Entire home/apt,235,Premium ($150-299),6,27,0.27,2019-04-27,0.115,1,No,199,45.5
27385,Great Large 1 BR apt  in East Village!,72062,Bruce,Manhattan,East Village,40.72555,-73.97965,Entire home/apt,225,Premium ($150-299),1,115,1.05,2019-06-07,0.511,4,Yes,299,18.1
27531,Eveland Private Bed & Living Room w/ Own Entrance,118971,Evelyn,Brooklyn,South Slope,40.66831,-73.98604,Private room,99,Mid ($75-149),2,354,3.2,2019-05-20,3.576,3,Yes,20,94.5
27644,Sugar Hill Rest Stop ,119510,Emma,Manhattan,Harlem,40.82754,-73.94919,Entire home/apt,170,Premium ($150-299),2,195,2.03,2019-07-01,1.147,1,No,318,12.9
27659,3 Story Town House in Park Slope,119588,Vero,Brooklyn,South Slope,40.66499,-73.97925,Entire home/apt,400,Luxury ($300+),2,16,0.24,2018-12-30,0.04,2,No,216,40.8
27759,apartment next to Central park,119900,Sylvie,Manhattan,Upper West Side,40.77842,-73.97556,Entire home/apt,170,Premium ($150-299),7,13,0.12,2019-06-26,0.076,1,No,224,38.6
27883,East Village Sanctuary,120223,Jen,Manhattan,East Village,40.72245,-73.98527,Entire home/apt,100,Mid ($75-149),4,25,0.23,2011-12-10,0.25,1,No,0,100.0
28321,Large 1  BR in a 3 BR Brooklyn apt. next to Q Trn.,65091,Kay,Brooklyn,Prospect-Lefferts Gardens,40.65593,-73.96053,Private room,75,Mid ($75-149),2,9,0.08,2018-10-05,0.12,1,No,324,11.2
28396,Modern Apt with Spectacular Views,6197784,Jo,Brooklyn,Williamsburg,40.71923,-73.96468,Private room,90,Mid ($75-149),1,9,0.08,2011-09-18,0.1,1,No,245,32.9
28907,Garden studio in the Upper East Sid,124352,Lisa,Manhattan,Upper East Side,40.778,-73.94822,Entire home/apt,150,Premium ($150-299),5,21,0.19,2017-08-15,0.14,1,No,189,48.2
29012,Secluded Master Bedroom in Beautiful Huge Apt,124797,Fernando And Lenin,Manhattan,Washington Heights,40.85879,-73.93128,Private room,85,Mid ($75-149),15,36,0.33,2017-08-17,0.424,1,No,307,15.9
29013,B & B Room 1,35935,Angela,Brooklyn,Bedford-Stuyvesant,40.68332,-73.9547,Private room,70,Budget (<$75),3,63,0.58,2019-05-14,0.9,2,No,310,15.1
29455,ACCOMMODATIONS GALORE #1,126607,Laurine,Manhattan,Harlem,40.81618,-73.94894,Entire home/apt,120,Mid ($75-149),3,155,1.42,2019-06-20,1.292,3,Yes,213,41.6
29628,Sunny Room in New Condo,127608,Chris,Brooklyn,Clinton Hill,40.68414,-73.96351,Private room,89,Mid ($75-149),3,260,2.35,2019-07-03,2.921,1,No,278,23.8
29683,Stylish & Sleek Apartment Near SoHo!,125857,Uli,Manhattan,East Village,40.72392,-73.99143,Entire home/apt,185,Premium ($150-299),5,73,0.66,2019-06-25,0.395,1,No,209,42.7
30031,NYC artists' loft with roof deck,129352,Sol,Brooklyn,Greenpoint,40.73494,-73.9503,Private room,50,Budget (<$75),3,193,1.86,2019-05-20,3.86,1,No,0,100.0
30927,Unique & Charming small 1br Apt. LES,120335,Cs,Manhattan,Lower East Side,40.71341,-73.98856,Entire home/apt,105,Mid ($75-149),3,32,0.29,2019-06-14,0.305,1,No,16,95.6
31130,Most Central Location!,117287,Lara,Manhattan,Hell's Kitchen,40.76754,-73.98399,Private room,130,Mid ($75-149),2,50,0.45,2019-05-26,0.385,3,No,234,35.9
31555,Luminous Beautiful West Village Studio,135619,Tom,Manhattan,West Village,40.73442,-74.00303,Entire home/apt,115,Mid ($75-149),29,26,0.25,2019-07-01,0.226,1,No,12,96.7
31902,Sanctuary in East Flatbush,137292,Sunder,Brooklyn,Flatlands,40.63188,-73.93248,Private room,77,Mid ($75-149),2,2,0.02,2019-01-01,0.026,1,No,178,51.2
31994,Room with En Suite Bathroom & Deck,137814,Waldemar,Brooklyn,Clinton Hill,40.6873,-73.9634,Private room,76,Mid ($75-149),2,426,3.89,2019-06-24,5.605,3,Yes,275,24.7
